"","player_id","team_id","player_season_appearances","player_season_minutes"
"170",16279,19573,10,992.98334
"171",206005,1892,8,666.73334
"172",5222,26021,8,784.98334
"173",450644,19538,4,311.9
"174",5515,2362,6,463.6667
"175",3629,2291,9,802.9833
"176",149152,2362,3,89.36666
"177",146321,2335,8,799.9834
"178",149462,2364,3,61.549995
"179",38279,1880,7,608.9167
"180",97648,1886,6,329.43335
"181",412401,1880,2,129.36667
"182",40732,1972,8,737.55005
"183",6918,2335,3,137.55
"184",131161,2335,1,62.533333
"185",417023,26021,3,223.53333
"186",416481,26021,1,11.05
"187",385503,1899,6,576.6666
"188",24680,26022,6,588.1167
"189",37210,1892,3,124.26666
"190",102428,1880,4,236.08333
"191",43338,1930,6,373.35
"192",149271,2362,1,30.5
"193",51662,2291,7,308.68335
"194",439110,1645,2,146.55
"195",157457,2362,6,280.34998
"196",27357,1880,4,396.8667
"197",40691,1899,3,286.93335
"198",77403,19538,8,581.2333
"199",12042,1901,5,222.43332
"200",124488,2366,5,158.90001
"201",22587,26021,10,1017.7167
"202",125193,19538,3,164.66667
"203",24966,3376,10,1025.7833
"204",400080,1930,7,362.71667
"205",96072,1901,4,169
"206",394963,1645,6,195.3
"207",51406,2335,7,434.9
"208",52033,1972,2,70.11667
"209",337929,1645,3,243.68333
"210",41616,1972,8,502.75
"211",124489,2366,4,233.50002
"212",25414,1922,3,206.75
"213",23558,3376,9,847.0333
"214",20717,1880,5,311.33334
"215",43252,1922,10,762.51666
"216",37202,1892,6,311.56665
"217",44105,2367,9,692.5667
"218",43112,1645,8,747.6333
"219",11332,1932,6,484.26666
"220",3834,3376,10,811.25
"221",43266,1922,7,526.65
"222",25343,1922,4,344.96667
"223",463118,1886,1,10.05
"224",25289,1880,6,356.45
"225",416761,1899,2,131.85
"226",387655,2335,2,132.66667
"227",30421,1922,5,361.93335
"228",406238,1899,6,449.31668
"229",443721,19538,4,385.81668
"230",54146,2291,2,110.816666
"231",443805,26022,9,261.08334
"232",274630,1972,2,56.9
"233",94055,3182,4,179.20001
"234",429323,26020,1,26.366667
"235",443553,26020,6,244.28333
"236",443687,26021,3,306.25
"237",43165,1932,8,765.6834
"238",156760,2364,9,756.4
"239",51588,3182,3,113.5
"240",30360,2291,9,795.01666
"241",197665,3182,5,210.81667
"242",356667,1886,4,207.70001
"243",427662,2364,5,266.86667
"244",24806,2366,9,891.35
"245",448580,19538,3,67.13333
"246",37665,1892,8,438.66672
"247",443647,12791,8,208.44998
"248",5187,2367,10,993.9166
"249",5650,2362,7,707.3833
"250",125199,19538,8,799.26666
"251",338434,1645,7,706.31665
"252",40122,1922,6,601.9167
"253",27056,26022,10,969.3
"254",425510,1892,4,169.16667
"255",397177,26020,6,397.36667
"256",10866,19538,4,212.65001
"257",158230,2366,1,72.583336
"258",43148,1932,8,267.15
"259",124175,12791,6,574.36664
"260",47162,26022,8,613.4
"261",5715,2367,8,515.60004
"262",443652,12791,5,347.78333
"263",51771,1932,4,323.01666
"264",231939,1892,9,493.9
"265",5679,1886,5,513.7833
"266",131844,1901,4,345.61667
"267",26735,1892,8,470.9
"268",26306,2364,3,235.25
"269",96160,19573,7,344.11667
"270",51269,1899,5,424.2
"271",26532,2367,7,559.25
"272",5235,26021,10,922.8834
"273",158771,1645,5,253.46667
"274",17570,1645,7,409.9
"275",40738,1972,6,334.98334
"276",44637,1930,6,460.35
"277",124909,2366,6,444.98334
"278",124493,2366,10,921.3667
"279",316381,3182,3,148.6
"280",3535,3376,9,680.4667
"281",51661,3376,2,159.26666
"282",412248,1645,5,496.16666
"283",434899,26022,2,125.3
"284",10855,19538,4,402.59998
"285",139014,12791,5,332.13333
"286",27211,26022,10,458.21664
"287",43145,1930,5,287.76666
"288",410319,19538,4,303.93335
"289",395858,1645,6,370.35
"290",443554,26020,4,70.63333
"291",425562,1899,3,129.31667
"292",227696,1645,3,284.48334
"293",434810,19538,3,242.28333
"294",40729,1899,6,336.6667
"295",48868,1886,4,230.13333
"296",12378,1930,7,546.75
"297",42954,1899,4,219.2
"298",263400,1932,9,457.01666
"299",43134,1932,6,605.93335
"300",38704,19573,10,870.41656
"301",5618,1901,4,359.73334
"302",43401,1922,8,570.7833
"303",202992,1972,6,605.7334
"304",59166,3182,1,100.066666
"305",51096,2291,6,371.68332
"306",54142,2291,6,335.01666
"307",42145,1880,9,322.63333
"308",40941,1899,6,407.9
"309",27126,1901,3,305.59998
"310",123090,3376,8,435.06665
"311",35649,26020,6,406.2834
"312",124514,2364,9,778.2167
"313",130625,1892,2,75.88333
"314",50604,12791,8,622.80005
"315",38261,1886,7,443.86667
"316",37513,1880,5,119.48333
"317",156378,2367,5,60.63333
"318",35438,1930,5,394.84998
"319",443685,26021,7,470.53333
"320",41947,1886,3,291.6
"321",96068,1899,2,131.68333
"322",33012,1922,5,479.71667
"323",73105,2291,8,574.26666
"324",271863,3376,5,225.70001
"325",94017,1886,10,678.15
"326",40784,2366,9,914.05
"327",29061,2335,10,928.6167
"328",431202,1899,1,36.016666
"329",9232,12791,2,161.71667
"330",10755,26022,4,380.65
"331",52066,3182,5,406.0833
"332",36207,1645,8,628.25
"333",4269,2367,6,495.21667
"334",82923,26021,8,625.81665
"335",43467,1930,6,526.11664
"336",217184,1972,1,51.166668
"337",30145,26021,3,74.03333
"338",40767,1972,7,383.41663
"339",10040,2366,9,586.50006
"340",204010,1892,9,871.2999
"341",41186,1972,9,857.4666
"342",189243,26020,3,204.63333
"343",293727,1901,6,443.18332
"344",10326,1932,8,703.45
"345",445326,26021,7,428.8
"346",44468,1930,3,208.41666
"347",105944,2362,5,474.21667
"348",5604,1901,4,336.76666
"349",54186,1645,7,624.05
"350",44098,2366,3,287.3333
"351",422476,1645,7,300.83334
"352",261222,1892,6,594.11664
"353",149615,1901,1,104.083336
"354",25341,1922,10,840.85
"355",133063,1899,7,591.5833
"356",401251,1899,2,175.26666
"357",43071,1880,7,303.75
"358",429774,1886,8,374.23334
"359",106662,1972,4,381.31665
